Title                                                                            ,Company Name                                            ,Venue                     ,Date       ,Experience Year       ,Level                  ,Salary        ,Education_Requirement ,Source Picture
Nhân Viên IT                                                                     ,Công ty TNHH Worldon (Việt Nam)                         ,"Củ Chi, Hồ Chí Minh"     ,11-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,8 - 10 triệu  ,Cử Nhân               ,/images/no_company.png
NHÂN VIÊN IT                                                                     ,CÔNG TY TNHH CÁNH ĐỒNG VÀNG                             ,"Thủ Đức, Hồ Chí Minh"    ,22-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,15 - 25 triệu ,Trung Cấp             ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______a7c107023de7daf4c701b0bfd3048b09.jpg
Nhân Viên IT                                                                     ,CNLGaming                                               ,"Thủ Đức, Hồ Chí Minh"    ,14-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,10 triệu      ,Cử Nhân               ,/images/no_company.png
Nhân Viên Phòng IT                                                               ,Công ty TNHH Sản xuất Toàn Cầu LIXIL Việt Nam           ,"Long Thành, Đồng Nai"    ,07-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______9f86225b6ac18a8bab1efd5b76231747.png
IT MES ENGINEER                                                                  ,UNIVERSAL SCIENTIFIC INDUSTRIAL VIETNAM COMPANY LIMITED ,"Hải An, Hải Phòng"       ,07-01-2024 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Kỹ Sư                 ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______9ab929297d7dc0305c4d67dfed8e3c89.jpg
CHUYÊN VIÊN IT                                                                   ,Công ty TNHH Daeyeong Vina                              ,"Biên Hòa, Đồng Nai"      ,18-01-2024 ,2 - 5 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______c22a7ebcef5345ea46f0f2db69ba984d.png
Nhân Viên Kỹ Thuật IT                                                            ,Bến Tre Riverside Resort                                ,Bến Tre                   ,17-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Trung Cấp             ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______6a17d8a6f41826abed38b9f72af472c8.png
Nhân Viên IT Phần Cứng                                                           ,Công Ty TNHH Isu Vina                                   ,"Thủ Dầu Một, Bình Dương" ,16-12-2023 ,2 - 5 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cử Nhân               ,https://cdn1.123job.vn/123job/uploads/2023/09/11/2023_09_11______0298f47c0570d2758cdda81b6871a561.jpeg
"Sales Director (N2, IT)"                                                        ,Công Ty Cổ Phần Tập Đoàn Omi Group                      ,"Cầu Giấy, Hà Nội"        ,14-01-2024 ,2 - 5 năm kinh nghiệm ,Giám Đốc               ,Cập nhật      ,Cử Nhân               ,https://cdn1.123job.vn/123job/uploads/2023/07/31/2023_07_31______8031b0e4abe98195b40b743014177243.png
Trưởng Phòng IT (IT Team Leader)                                                 ,Công ty TNHH Quảng Việt Tiền Giang                      ,"Châu Thành, Tiền Giang"  ,09-01-2024 ,2 - 5 năm kinh nghiệm ,Trưởng Nhóm / Giám Sát ,Cập nhật      ,Cử Nhân               ,/images/no_company.png
"[SCG-Chemtech] - IT Hardware (IT Support, IT Helpdesk)"                         ,SCG Vietnam                                             ,"Bến Cát, Bình Dương"     ,10-01-2024 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______8aba635d42043469d7ab2f1a9a55584c.png
"[SCG-Chemtech] - IT Hardware (IT Support, IT Helpdesk)"                         ,SCG Vietnam                                             ,"Bến Cát, Bình Dương"     ,23-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______8aba635d42043469d7ab2f1a9a55584c.png
Trợ lý IT (Nhà máy C)                                                            ,Regina Miracle International Việt Nam                   ,"Thủy Nguyên, Hải Phòng"  ,15-01-2024 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cử Nhân               ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______2893e655c57edf837a0c3fdd03c4127a.png
"IT Developer (C#, Java, C++, Python) - Long Thành"                              ,CareerLink's Client                                     ,"Long Thành, Đồng Nai"    ,20-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,10 - 12 triệu ,Cử Nhân               ,/images/no_company.png
IT Support - Hệ thống Thẩm Mỹ Thu Cúc                                            ,Công ty CP Thẩm mỹ Thu Cúc                              ,"Tây Hồ, Hà Nội"          ,22-12-2023 ,1 - 2 năm kinh nghiệm ,Nhân Viên              ,11 - 12 triệu ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______90efec94b529cc6b7f0ee86a38500a97.jpg
IT Comtor (Phiên dịch tiếng Nhật dự án IT)                                       ,Vnext Software                                          ,"Cầu Giấy, Hà Nội"        ,30-11-2023 ,Đang cập nhật         ,Nhân Viên              ,900 usd       ,Đang cập nhật         ,/images/no_company.png
Nhân Viên Hỗ Trợ Mạng (IT Operations Officer) - ILA Cần Thơ                      ,CTY TNHH ILA VIỆT NAM                                   ,"Ninh Kiều, Cần Thơ"      ,12-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,8 - 10 triệu  ,Cử Nhân               ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______3afa49a3311faa6035541077aff98beb.png
"IT - Application Assistant Manager (Work at SHTP-District 9, HCMC)"             ,TTI                                                     ,"Quận 9, Hồ Chí Minh"     ,31-12-2023 ,5 - 10 Năm            ,Trưởng Phòng           ,Cập nhật      ,Đại Học               ,https://cdn1.123job.vn/123job/uploads/2023/02/13/2023_02_13______c9b7fcbb911b773b31965062322eade6.png
Chuyên Viên Kiểm Soát Tuân Thủ Hoạt Động CNTT (IT Compliance)                    ,Công Ty Cổ Phần Dược Phẩm ECO                           ,"Tân Bình, Hồ Chí Minh"   ,25-12-2023 ,2 - 5 năm kinh nghiệm ,Nhân Viên              ,Cập nhật      ,Cử Nhân               ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______37610aba65e1b80f9aef31d136fa6fb3.png
"IT – Application Analyst (ERP/ Oracle EBS) - Working at SHTP- District 9, HCMC" ,TTI                                                     ,"Quận 9, Hồ Chí Minh"     ,31-12-2023 ,4 Năm                 ,Nhân Viên              ,Cập nhật      ,Đại Học               ,https://cdn1.123job.vn/123job/uploads/2023/02/13/2023_02_13______c9b7fcbb911b773b31965062322eade6.png
[MỚI THÀNH LẬP] CHUYÊN VIÊN IT/SERVER - ĐỒNG NAI - KHÔNG GIỚI HẠN TUỔI~30TR      ,Công Ty Phát Triển Nhân Lực HRVALU                      ,"Nhơn Trạch, Đồng Nai"    ,18-01-2024 ,2 - 5 năm kinh nghiệm ,Nhân Viên              ,30 triệu      ,Cử Nhân               ,/images/no_company.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/LAPTOP [Pleiku - Gia Lai]                         ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Plei Ku, Gia Lai"        ,02-01-2024 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,6 - 11 triệu  ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/Laptop [Phước Long - Bình Phước]                  ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Phước Long, Bình Phước"  ,06-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,7 - 12 triệu  ,Trung Cấp             ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật Online [Đống Đa - Hà Nội]                              ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Đống Đa, Hà Nội"         ,16-01-2024 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,9 - 12 triệu  ,Cao Đẳng              ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/Laptop [Diên Khánh - Khánh Hòa]                   ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Diên Khánh, Khánh Hòa"   ,29-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,6 - 10 triệu  ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/LAPTOP [Bình Long - Bình Phước]                   ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Bình Long, Bình Phước"   ,13-01-2024 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,7 - 12 triệu  ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
"Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/Laptop [Ba Vì, Hà Nội]"                          ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Ba Vì, Hà Nội"           ,29-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,6 - 10 triệu  ,Trung Cấp             ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/Laptop [Bình Sơn - Quảng Ngãi]                    ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Bình Sơn, Quảng Ngãi"    ,21-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,6 - 9 triệu   ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/Laptop [Trảng Bàng - Tây Ninh]                    ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Trảng Bàng, Tây Ninh"    ,04-12-2023 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,7 - 12 triệu  ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
Nhân Viên Hỗ Trợ Kỹ Thuật ĐTDĐ/LAPTOP [Châu Thành - Tiền Giang]                  ,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT                  ,"Châu Thành, Tiền Giang"  ,08-01-2024 ,0 - 1 năm kinh nghiệm ,Nhân Viên              ,7 - 12 triệu  ,Trung Học Phổ Thông   ,https://cdn1.123job.vn/123job/uploads/2023/02/07/2023_02_07______dee85bb0b886e6f48a082a5213dd6760.png
