Company Name,Experience Years,Levels,Work Places
"LAMPART CO., LTD",06 tháng,Fresher,Hybrid
Scuti JSC,3 năm,Middle,In Office
"Winitech Co., Ltd.",4 năm,Trưởng Nhóm,In Office
Công ty Điện tử Bình Anh,Không yêu cầu,Fresher,In Office
HOIIO,1 năm,Junior,In Office
Globaltech,3 năm,Middle,In Office
CÔNG TY TNHH THANKSLAB VIỆT NAM,2 năm,Junior,In Office
PALTech,4 năm,Middle,In Office
CÔNG TY TNHH POSCO DX VIỆT NAM,2 năm,Middle,In Office
ZOI.TECH SGN,4 năm,Senior,In Office
International Centre for Trade Transparency Limited,4 năm,Senior,In Office
Shinhan DS Vietnam Company Limited,4 năm,Senior,In Office
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN BƯU ĐIỆN LIÊN VIỆT,1 năm,Junior,In Office
Eduvator,2 năm,Middle,In Office
Gameloft Vietnam,2 năm,Middle,Hybrid
NGÂN HÀNG Á CHÂU (ACB),3 năm,Trưởng phòng,In Office
TMA Tech Group,4 năm,Trưởng Nhóm,In Office
